h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.72632116,0.46096665,0.24010514,0.036663514,0.033613462,0.33119792,0.23315606,0.07750906,0.029054105,0.012137321,0.14328957,0.09087269,0.0,0.0,0.0,0.0,0.6893419,0.5628029,0.3856116,0.2163519,0.1051787,0.037197344,0.010130452,0.002591511,6.8059884E-4,3.664763E-4,2.6176878E-5,5.2353756E-5,2.6176878E-5,2.6176878E-5,0.0,0.0,0.0,0.0,0.09541473,0.2092763,0.09676644,0.081698865,0.16657822,0.35482353,0.40809676,0.19774704,0.18275897,0.24366537,0.18856336,0.17770994,0.64170384,0.008468057,A
0.69745004,0.4835929,0.25277203,0.0325932,0.033228546,0.35214,0.22475332,0.08132417,0.028209321,0.010324357,0.15330876,0.0900284,0.0,0.0,0.0,0.0,0.69747806,0.54466397,0.3905657,0.22923426,0.10281079,0.032811396,0.010849775,0.0032758983,7.338012E-4,1.834503E-4,2.6207186E-5,2.6207186E-5,0.0,5.2414372E-5,0.0,0.0,0.0,0.0,0.08982885,0.21753255,0.093398206,0.079993285,0.16954452,0.34840903,0.41471976,0.19318159,0.18501173,0.2416059,0.183465,0.17870587,0.64169127,0.008764757,A
0.7301747,0.47784135,0.21806166,0.030190276,0.027479695,0.31975523,0.21507066,0.08312452,0.032371204,0.010655392,0.15531324,0.09275176,0.0,0.0,0.0,0.0,0.71010906,0.5439914,0.3589997,0.23998849,0.109547995,0.034681022,0.011429272,0.0027000343,0.0012844823,3.4078103E-4,5.242785E-5,0.0,5.242785E-5,2.6213926E-5,2.6213926E-5,0.0,0.0,0.0,0.08350059,0.22422701,0.093804404,0.07862608,0.16125481,0.35615554,0.41187546,0.19264182,0.18721251,0.2422587,0.18859956,0.17583868,0.6386388,0.008956399,A
0.69898087,0.48843488,0.24066049,0.031869013,0.035218608,0.34366852,0.22461432,0.07531805,0.033017445,0.011580031,0.16231184,0.10431598,0.0,0.0,0.0,0.0,0.70064384,0.548002,0.3826487,0.22478653,0.103779756,0.031086944,0.009996893,0.0023230377,9.657573E-4,2.3491394E-4,5.2203097E-5,2.6101548E-5,2.6101548E-5,2.6101548E-5,0.0,0.0,0.0,0.0,0.094790526,0.21351725,0.094711,0.08035724,0.16556533,0.360037,0.40635872,0.19439214,0.18997866,0.23832819,0.18695681,0.17920339,0.64031315,0.009145059,A
0.7258132,0.4602503,0.22955763,0.038559124,0.028533122,0.34280732,0.21886954,0.087491065,0.03247416,0.009458493,0.15120977,0.09635051,0.0,0.0,0.0,0.0,0.7118984,0.5407705,0.36810368,0.23004851,0.10547802,0.03333356,0.010198295,0.0018518644,0.001095469,1.8257818E-4,1.04330386E-4,2.6082596E-5,2.6082596E-5,2.6082596E-5,0.0,0.0,0.0,0.0,0.09028191,0.21662892,0.09631924,0.07947827,0.16269015,0.3600155,0.4078375,0.19672957,0.18489322,0.2408974,0.18922262,0.1763933,0.63952005,0.009532626,A
0.70394766,0.47874653,0.23924646,0.037221752,0.03271963,0.35281402,0.23252498,0.07498249,0.03221235,0.00919447,0.14467023,0.09666876,0.0,0.0,0.0,0.0,0.69795334,0.5406603,0.3911965,0.23534842,0.10461681,0.032078635,0.011927683,0.0026797878,8.144453E-4,3.415416E-4,0.0,7.881729E-5,0.0,2.627243E-5,0.0,0.0,0.0,0.0,0.09876837,0.20794596,0.096225664,0.08112832,0.16336909,0.36078665,0.40500593,0.19483511,0.18621373,0.2419547,0.18561779,0.17802939,0.64255065,0.008820023,A
0.7305038,0.46723607,0.22453715,0.029946622,0.028258609,0.32806867,0.21953562,0.08277521,0.031353302,0.011190909,0.15170246,0.095622875,0.0,0.0,0.0,0.0,0.70287067,0.54622436,0.38093063,0.22483294,0.103481665,0.0336753,0.010032052,0.0031088914,9.6663006E-4,1.5675082E-4,0.0,7.837541E-5,5.2250274E-5,0.0,0.0,0.0,0.0,0.0,0.100048356,0.20631507,0.09553311,0.07953171,0.15442935,0.36391303,0.41163996,0.19138308,0.18813527,0.24192216,0.18290709,0.17597578,0.64124423,0.008872063,A
0.7094674,0.4858832,0.22198157,0.030544464,0.028941821,0.34205398,0.23078038,0.07928362,0.029758854,0.008704543,0.15269089,0.093298875,0.0,0.0,0.0,0.0,0.71360534,0.5302953,0.39235827,0.20650299,0.109263994,0.030776761,0.008700604,0.0018959524,7.531866E-4,3.636073E-4,5.19439E-5,5.19439E-5,0.0,2.597195E-5,0.0,0.0,0.0,0.0,0.10509539,0.20078102,0.09449453,0.08298049,0.16584186,0.34962976,0.4131158,0.1972077,0.18652743,0.24429615,0.18208064,0.17402081,0.6446274,0.008536271,A
0.71310276,0.48533785,0.225192,0.030215953,0.029808054,0.3427926,0.21992068,0.07828536,0.03498524,0.009726838,0.144773,0.09560541,0.0,0.0,0.0,0.0,0.70322156,0.5485029,0.3759241,0.22720228,0.10317185,0.030479627,0.010168567,0.0025291052,9.647102E-4,1.5643949E-4,2.6073249E-5,2.6073249E-5,5.2146497E-5,0.0,0.0,0.0,0.0,0.0,0.099260524,0.20706429,0.09405511,0.08221378,0.1604937,0.3621539,0.41059208,0.19252092,0.18612342,0.24004516,0.19212355,0.17730202,0.6390741,0.008702183,A
0.7131536,0.4861088,0.22631712,0.033031605,0.03328472,0.32920867,0.21894513,0.08586952,0.0321457,0.009428562,0.16620213,0.09621563,0.0,0.0,0.0,0.0,0.7160182,0.53036267,0.37835866,0.22638065,0.10306106,0.030374797,0.008919996,0.0021844888,0.0011182502,2.6005818E-4,1.04023275E-4,0.0,5.2011637E-5,2.6005819E-5,0.0,2.6005819E-5,0.0,0.0,0.09296204,0.21391606,0.0959839,0.07964198,0.17069548,0.34755397,0.4144723,0.19622228,0.1844529,0.24353828,0.18465172,0.18174914,0.63976014,0.008071554,A
